amount,transaction_hour,customer_avg_transaction,previous_transaction_count,is_international,is_new_device,location_changed,is_fraud
2494.65,6,1068.74,156,0,0,0,0
1196.37,4,933.1,58,0,0,0,0
813.21,22,369.55,38,0,0,0,0
1202.02,17,1435.7,43,0,1,0,0
150.27,21,3959.39,116,1,1,1,1
880.36,7,386.98,92,0,0,0,0
1567.3,16,587.85,52,0,0,0,0
4807.32,19,458.08,53,0,0,0,0
653.1,0,628.33,38,0,0,0,0
488.58,13,783.95,104,0,0,0,0
663.97,16,437.73,139,1,1,0,1
2739.15,9,563.32,22,1,0,1,1
1523.48,11,700.89,74,0,0,0,0
645.64,15,882.68,118,0,0,1,0
1832.19,13,1603.42,38,0,0,0,0
1208.43,15,659.39,55,0,0,0,0
2888.94,7,474.8,109,1,0,0,1
543.45,22,1010.1,97,0,0,0,0
790.24,9,845.65,146,0,0,0,0
740.92,16,592.47,73,0,0,1,0
253.78,17,889.81,93,0,0,0,0
1474.57,19,528.54,107,0,0,0,0
1423.76,15,483.85,140,0,0,0,0
1102.26,16,212.81,147,0,0,0,0
867.32,15,546.34,87,0,1,0,0
266.3,18,231.02,191,0,0,1,0
720.07,23,453.21,15,0,0,0,0
778.43,23,941.7,152,0,1,0,0
491.63,7,269.59,187,0,0,0,0
933.29,5,593.53,40,0,1,1,1
1642.63,5,691.79,86,0,0,0,0
7231.39,20,576.42,146,0,1,1,1
1305.81,8,498.3,190,0,0,0,0
1418.78,3,808.54,42,0,0,1,0
1017.96,11,878.71,93,0,0,1,0
160.97,11,665.75,5,0,0,1,0
1067.94,22,515.19,108,0,0,0,0
1164.71,16,1117.49,69,0,0,0,1
12877.57,14,302.95,5,0,0,0,0
904.73,8,1004.68,129,1,0,0,0
1482.59,6,855.61,64,0,0,0,0
1059.22,9,749.51,29,0,0,0,0
340.81,15,661.2,95,0,0,1,0
3438.61,11,214.01,142,1,0,0,1
2326.06,6,1529.06,54,1,0,0,0
2418.81,17,1100.15,144,1,1,0,1
441.69,14,373.59,96,0,0,0,0
4459.51,5,1048.68,36,0,0,0,0
269.93,11,744.94,37,0,0,0,0
1972.11,10,468.81,30,0,0,0,1
9803.12,19,1359.78,46,0,0,0,0
407.26,2,513.63,182,0,0,0,0
622.47,1,1500.68,65,0,1,0,0
1211.54,5,916.51,45,0,1,0,0
662.83,23,1180.79,189,0,0,1,0
232.6,21,941.48,134,0,0,0,0
1174.46,4,915.65,103,0,0,0,0
379.06,17,756.83,102,0,0,0,0
1760.92,15,430.05,35,0,0,1,1
437.28,7,690.57,155,0,0,1,0
5166.42,19,1152.67,186,1,0,0,1
501.07,21,1024.09,119,0,1,0,1
794.68,10,898.52,160,1,0,0,0
2473.82,9,189.15,151,0,1,0,0
320.26,23,585.27,52,0,0,0,0
1376.72,11,549.51,6,0,0,0,0
4052.72,20,343.11,143,0,0,1,0
219.76,5,1143.96,176,0,0,0,0
1319.01,19,197.32,105,0,0,0,1
1422.09,4,1098.81,191,1,0,0,1
2396.64,22,1476.67,132,1,0,1,1
318.32,8,586.45,63,1,0,0,1
292.82,15,636.13,124,1,0,0,0
1848.15,21,1188.6,42,0,0,0,0
1475.84,13,420.65,157,0,0,0,0
1408.8,21,988.77,111,0,1,0,0
1550.68,7,383.49,25,0,0,0,0
555.56,19,320.39,46,0,0,0,0
1383.34,18,794.41,168,1,0,0,0
1470.08,13,654.58,141,0,0,0,0
536.81,6,236.84,144,0,0,0,0
7085.28,4,1554.93,14,0,0,0,0
1761.34,17,518.62,191,0,0,0,0
333.18,1,903.62,137,0,0,0,1
2114.46,10,1742.56,37,1,0,0,0
413.77,21,771.67,73,1,1,0,0
2409.28,7,1427.92,84,0,0,0,0
3493.28,0,396.3,195,0,1,0,1
482.66,21,1560.23,105,0,1,0,0
2873.76,11,405.24,33,0,0,0,1
1657.03,1,472.16,150,1,1,0,1
2495.04,17,277.88,138,0,0,0,1
7308.5,6,781.37,57,0,1,0,0
858.01,16,971.22,164,0,0,0,0
516.08,21,1053.72,128,1,0,0,0
450.56,22,281.76,46,0,0,1,0
485.02,13,832.96,51,0,1,0,0
1015.26,23,851.66,163,0,1,0,0
1542.49,6,961.85,194,0,0,0,0
1446.19,21,418.37,188,0,0,0,0
2507.86,2,147.94,15,0,0,0,0
1110.98,5,1016.26,158,1,0,0,0
4691.62,19,609.42,159,0,0,0,0
841.63,1,786.93,87,0,0,0,0
16650.06,16,628.44,189,0,1,0,0
2050.15,11,765.63,113,0,0,0,0
465.37,11,1035.12,31,0,0,0,0
375.82,16,218.28,191,0,0,0,0
1776.63,9,1318.98,66,0,0,0,0
877.03,2,596.28,152,0,1,0,0
2239.48,19,1765.6,135,1,0,0,0
1760.3,17,504.88,148,1,0,0,0
1019.61,12,441.88,107,0,1,0,0
470.22,11,608.5,48,0,0,0,1
241.09,16,897.84,97,0,1,0,0
701.69,3,564.19,34,0,0,0,0
2582.2,22,937.77,172,0,1,0,0
1358.44,9,527.28,123,0,0,0,0
315.53,10,679.21,197,1,0,0,0
1303.99,5,2545.12,33,0,1,0,0
1612.14,5,824.16,34,1,0,0,0
453.11,8,864.8,108,0,0,1,0
1278.86,14,274.91,114,0,0,0,0
1162.36,1,1499.03,36,0,0,0,0
349.68,3,1261.28,142,1,0,0,1
1568.36,4,433.26,55,0,0,0,0
1921.35,16,1246.43,140,0,0,0,0
3239.1,7,810.69,183,0,1,0,1
3145.73,7,683.93,40,0,0,0,0
276.53,21,1443.14,59,0,0,0,0
429.31,11,489.13,167,0,0,1,0
1835.43,20,431.21,40,1,0,0,0
1833.14,7,753.36,60,0,0,0,0
1835.46,18,913.18,40,0,0,0,0
51675.11,2,1187.72,93,0,0,0,1
1940.87,17,607.55,193,0,0,1,0
3413.75,20,399.47,66,1,1,1,1
2846.94,18,3032.49,113,0,1,0,0
2103.57,18,346.56,91,0,0,0,0
800.1,14,687.51,157,0,1,0,1
2342.49,5,1061.91,68,0,0,1,0
506.32,15,1327.0,192,0,0,0,0
865.39,7,473.29,61,0,0,0,0
674.95,15,215.95,117,0,1,0,0
1190.2,17,466.77,74,0,1,0,1
11099.54,19,1115.2,184,0,0,0,1
169.48,15,975.06,188,1,0,0,0
2178.21,10,994.33,195,0,0,0,0
218.61,6,1019.43,24,0,0,0,0
684.08,16,1486.31,58,0,0,0,0
3258.27,16,417.58,5,0,1,0,0
1169.44,11,324.17,94,0,0,1,0
373.25,12,830.72,142,0,0,0,0
536.3,9,354.56,155,1,0,0,0
2163.75,6,312.14,183,0,0,0,0
528.28,13,1386.28,117,0,0,0,0
1361.66,22,772.95,156,0,0,0,0
1147.76,0,676.61,17,1,1,0,1
571.58,16,685.1,161,1,0,0,0
9357.6,3,624.1,190,0,0,0,0
2067.14,20,1380.7,114,0,0,0,0
144.73,4,268.07,95,0,0,0,0
1321.41,19,261.49,99,0,1,0,0
565.78,23,379.24,47,0,0,0,0
2571.99,22,791.16,142,0,1,0,0
496.45,6,1964.92,163,0,1,0,0
977.76,9,1120.41,78,0,0,1,0
1817.08,16,949.05,18,0,1,0,0
2606.48,6,634.02,103,0,1,0,0
330.2,0,299.01,113,0,0,1,0
784.85,6,905.96,166,0,0,0,0
682.02,23,2243.02,149,0,0,0,0
570.59,10,575.92,153,1,0,0,0
6408.97,8,475.13,100,0,0,0,0
1644.15,11,577.58,199,0,0,0,0
310.79,2,953.22,62,0,0,1,0
2745.89,3,711.26,140,0,1,0,0
9155.92,3,1148.27,100,0,0,0,0
3079.32,12,651.92,42,0,0,0,1
240.0,22,575.59,158,0,0,0,0
675.71,18,763.11,68,0,0,1,0
3892.91,9,481.16,162,0,0,0,0
540.41,4,1890.24,13,0,0,0,0
1709.27,6,1089.93,125,1,0,0,0
2379.47,23,343.84,36,0,1,0,1
434.01,15,425.19,15,0,0,0,0
1033.26,0,933.74,166,1,0,0,0
42.89,11,742.48,109,0,0,0,0
393.71,1,797.52,150,0,0,1,0
851.87,6,592.72,151,0,1,0,0
314.89,10,874.02,186,0,0,1,0
5610.59,12,601.15,86,0,0,0,0
262.4,1,932.65,41,0,0,0,0
706.24,6,1057.66,86,0,0,1,0
1249.8,14,1744.19,16,0,0,0,0
4634.45,10,488.42,8,0,0,1,1
260.9,1,660.72,47,0,0,0,0
3509.27,6,320.09,159,0,0,0,0
1107.91,3,1989.74,55,0,0,0,0
410.96,10,203.3,9,0,0,1,0
1740.81,1,1825.71,138,0,1,1,0
1338.17,15,703.51,91,0,1,0,0
601.71,6,854.96,110,0,0,0,0
1175.92,12,602.21,60,0,0,0,0
745.97,4,677.67,114,0,0,0,0
1228.46,16,946.58,72,0,0,0,0
2126.28,20,249.14,100,1,0,0,0
5356.24,11,449.76,48,0,0,0,0
318.04,18,400.6,147,0,0,0,0
9256.06,6,869.96,94,0,0,0,0
155.7,5,666.89,46,0,1,0,0
942.2,7,963.77,143,1,1,0,1
1974.99,12,734.26,77,1,0,0,0
1452.43,4,1255.33,15,0,0,0,0
588.34,1,426.6,198,0,0,0,0
890.58,8,688.76,159,1,0,0,0
669.81,10,1294.16,62,0,1,0,0
608.28,23,1147.79,132,0,1,1,1
2564.71,5,273.75,25,0,0,0,1
1567.15,6,360.44,25,0,0,0,0
548.45,6,633.29,76,0,0,0,0
2696.2,18,577.73,133,0,0,0,0
1491.14,5,639.54,106,1,1,0,0
2472.2,10,1072.46,190,1,0,1,0
2058.29,10,791.26,17,0,0,0,0
478.67,6,819.43,77,0,0,0,0
626.29,1,994.63,10,0,0,1,0
2315.3,18,1267.12,116,0,0,0,0
2019.03,3,106.31,190,0,0,1,1
1073.95,5,527.43,21,0,0,1,0
1233.15,16,391.59,77,0,0,1,0
3935.0,4,884.65,16,0,0,0,1
606.94,6,504.08,90,0,0,0,0
1895.23,8,696.12,184,1,1,0,1
895.88,0,1109.08,126,0,0,0,0
882.11,0,463.22,74,0,0,1,0
3290.44,18,826.9,112,0,0,0,0
2503.43,5,1689.68,56,1,0,0,0
2473.8,17,1095.5,41,0,0,0,0
4045.98,9,256.86,121,0,0,0,0
1119.91,10,558.33,7,0,1,0,0
2168.85,0,823.44,12,0,0,1,1
804.11,0,926.74,142,0,0,0,0
1516.51,12,571.69,51,0,0,0,0
962.81,4,453.11,173,0,1,0,0
1208.33,19,692.74,68,1,1,0,1
1988.54,0,346.5,46,0,0,0,0
483.85,19,1286.71,47,0,0,0,0
8887.38,2,2041.03,129,0,1,0,1
401.01,17,842.87,141,0,0,0,0
325.65,8,578.56,18,0,0,0,0
3491.58,13,1169.74,95,0,0,0,0
2420.34,16,1056.97,136,0,0,0,0
2046.98,22,563.79,6,0,0,0,0
2055.65,13,646.32,119,0,0,0,0
1083.28,3,461.41,5,1,0,0,0
447.08,4,734.22,79,0,0,0,1
1182.99,20,795.8,69,0,0,0,0
557.15,16,416.51,178,0,0,0,0
2907.71,21,349.04,191,0,0,0,0
946.66,1,300.18,129,1,0,0,0
480.34,22,853.99,139,0,0,1,0
795.22,21,660.57,70,0,0,0,0
1657.28,4,632.61,147,0,0,1,1
624.08,3,878.94,76,0,0,0,0
481.92,3,387.39,120,0,0,0,0
1399.24,5,349.97,125,1,0,0,0
1401.04,19,768.66,51,0,0,0,0
660.54,20,235.75,94,0,1,0,0
684.69,12,569.41,44,0,0,0,0
1383.05,21,2921.54,46,1,1,0,1
257.73,4,296.15,183,0,0,0,0
268.42,22,513.96,39,0,1,0,1
534.62,22,186.1,45,0,0,0,0
885.85,6,578.11,89,0,0,1,0
1496.53,19,2164.45,128,0,0,1,0
4795.13,0,880.2,61,0,1,0,1
2585.46,13,460.23,42,0,0,0,0
934.55,23,2462.29,100,0,1,1,1
1075.98,3,233.83,140,0,0,0,0
402.41,16,873.38,67,0,0,1,0
1076.52,20,691.56,91,1,1,0,1
821.67,13,573.52,136,0,1,0,1
1514.32,15,1079.5,180,0,0,0,0
479.51,13,327.28,56,0,0,0,0
1843.36,15,802.37,42,1,0,1,0
5078.34,23,743.52,91,0,0,0,0
983.62,19,394.41,9,0,0,0,0
1638.79,7,2143.08,124,0,0,1,0
2186.69,23,596.39,74,0,0,1,1
734.2,2,612.05,117,0,1,0,1
1372.09,18,359.03,28,1,0,1,1
1110.53,0,603.05,90,1,0,0,0
1209.15,1,2699.58,149,0,0,0,0
506.23,14,571.56,30,0,1,0,0
1123.84,21,907.98,7,0,0,0,0
1804.43,9,1176.53,6,1,0,0,1
4680.42,17,596.55,96,0,1,0,0
2861.99,21,520.22,6,0,0,0,0
9444.45,13,883.03,154,1,0,0,1
509.1,16,575.5,75,0,1,0,0
2623.65,12,545.06,8,0,0,1,0
1317.3,0,1169.04,42,0,1,0,0
9796.72,4,638.01,107,0,1,0,1
488.68,12,1377.39,74,0,0,0,0
473.56,13,629.45,56,0,0,0,0
602.21,23,301.78,35,1,0,0,0
131.12,2,85.16,158,0,1,1,1
648.23,14,220.77,40,0,0,0,0
513.3,18,244.8,158,0,0,1,1
1274.61,16,780.49,160,0,0,0,0
1543.42,2,371.37,137,0,1,0,1
7159.32,15,203.47,119,0,0,0,0
2836.78,13,614.9,78,0,0,0,0
615.91,11,347.55,22,0,0,0,0
446.57,11,878.19,19,0,1,0,0
1793.49,10,865.2,189,0,0,0,0
292.88,16,921.91,101,0,0,1,0
6846.27,7,143.31,9,1,0,0,1
3566.86,16,683.51,41,0,0,0,1
685.96,20,618.41,108,0,0,0,0
197.72,22,319.58,90,0,0,0,1
4246.59,19,184.48,154,0,0,0,1
977.95,10,623.15,184,0,0,1,0
3781.27,1,1259.5,19,0,1,0,0
222.64,9,141.31,21,0,0,0,0
602.22,9,403.63,55,0,0,0,0
1102.4,10,719.76,49,0,1,0,0
1149.38,5,1306.3,195,0,1,0,0
699.2,3,551.46,126,0,0,1,0
2044.38,23,2118.79,160,0,1,0,0
377.05,11,226.52,191,0,0,0,0
951.1,10,198.31,153,0,1,0,0
1236.82,22,1224.92,174,0,0,0,0
1834.34,22,162.43,86,0,0,0,1
2234.15,12,877.36,149,0,0,0,0
356.15,4,557.4,139,0,1,0,1
236.49,5,387.38,93,0,0,0,0
3935.04,0,514.91,105,1,1,0,1
1528.92,5,306.91,44,0,0,0,0
518.8,17,549.49,172,0,0,0,0
5172.71,21,672.13,47,0,0,0,1
1231.11,8,518.15,77,0,0,0,0
3566.35,23,468.27,183,1,0,0,0
1173.23,14,774.7,27,1,0,0,1
8610.59,7,1800.36,99,0,1,0,1
6344.48,18,566.95,164,1,0,0,0
854.94,23,1087.89,163,1,1,0,1
2897.41,15,372.52,21,0,0,0,0
2090.95,5,298.73,116,1,0,0,0
4309.73,5,873.05,107,0,0,0,0
417.83,21,578.18,62,0,1,0,0
2177.76,2,1309.89,90,0,0,0,0
3160.31,9,1473.29,39,0,1,0,0
188.91,0,1100.42,34,0,0,0,0
335.88,13,1086.17,196,0,1,0,0
142.7,3,85.18,185,0,1,0,0
837.64,11,868.45,183,0,0,0,0
2247.43,5,1116.25,108,0,0,1,0
4926.37,10,310.11,169,0,0,0,0
1180.97,11,668.65,126,0,1,0,0
5589.33,9,355.8,138,0,0,1,1
275.86,17,1232.14,38,0,0,0,0
199.66,6,374.8,60,0,0,0,0
1037.38,6,413.35,29,0,0,0,0
1610.12,10,503.49,119,0,0,1,0
1061.36,3,2564.83,17,0,0,0,0
138.73,19,1215.37,67,1,0,0,0
1003.13,0,1750.33,106,0,1,0,1
297.53,12,224.11,198,0,1,0,0
2142.38,17,310.57,126,0,0,0,0
1582.24,8,1484.97,124,0,1,0,0
428.43,23,231.34,137,0,0,0,0
655.98,23,444.52,15,0,0,0,0
380.23,8,2282.91,113,0,0,1,0
1030.01,22,373.13,108,0,1,0,0
2850.19,8,223.05,115,0,1,0,0
409.23,9,684.36,176,1,0,0,1
1815.37,1,228.64,73,0,0,0,1
645.32,5,1397.37,106,1,0,0,0
496.27,14,388.81,6,0,0,0,0
985.32,2,344.76,172,0,0,0,0
389.46,10,676.97,41,0,0,0,0
630.4,5,521.83,122,0,0,0,0
331.0,2,773.87,53,0,0,0,0
7822.23,23,909.51,79,0,0,0,0
1135.99,10,583.84,168,0,0,0,0
544.72,14,331.34,79,0,0,0,0
1358.29,12,1031.02,38,0,1,0,1
980.12,19,438.76,62,0,0,1,0
879.22,9,394.87,115,0,0,0,0
2026.71,5,724.58,169,0,0,0,0
2339.07,14,209.1,100,0,0,0,1
645.16,17,840.94,64,0,0,0,1
616.58,17,748.04,144,0,0,0,0
832.93,6,1303.87,36,0,0,0,0
109.74,14,492.63,136,0,0,0,0
241.0,17,1472.77,110,0,0,1,0
4302.17,17,913.96,37,0,1,1,1
5681.48,19,654.54,47,0,0,0,1
854.88,8,1978.35,116,0,0,0,0
1951.9,23,704.25,111,0,0,0,0
1497.05,1,487.35,13,0,0,0,0
23834.3,7,716.45,183,1,1,0,1
3359.59,19,481.36,118,0,0,0,0
964.96,1,832.3,129,0,0,1,0
421.77,10,1469.11,24,0,0,0,0
219.98,6,661.96,171,0,1,0,0
1344.08,5,702.11,155,0,0,0,0
514.73,9,1073.52,45,0,0,0,0
264.47,4,1356.07,48,0,0,0,0
574.46,10,506.95,129,0,1,0,0
371.84,0,737.6,39,0,0,0,0
5926.22,1,1076.38,155,0,0,0,1
2648.21,23,810.76,62,0,0,0,0
1087.92,0,217.62,52,0,0,0,1
4817.18,18,1199.47,62,0,1,1,1
1184.85,1,910.26,105,0,0,0,0
463.46,20,949.91,61,0,0,1,0
5029.74,19,325.29,171,0,1,0,1
1879.78,22,728.83,160,0,0,0,0
388.68,20,1103.24,68,0,0,0,0
906.56,23,392.15,66,0,0,0,0
456.86,3,458.37,87,1,0,0,1
275.12,11,1114.64,117,0,0,0,0
2768.82,21,445.74,116,0,0,0,1
7401.34,19,586.92,66,0,0,0,0
270.81,17,357.53,98,0,0,0,0
1925.55,0,1982.2,89,1,1,0,1
572.12,0,909.03,30,0,1,0,0
673.76,23,570.64,183,0,0,0,0
606.44,13,510.08,125,0,1,0,0
462.21,3,318.3,54,1,0,0,0
1151.16,4,622.62,119,0,1,0,0
477.73,10,991.32,40,0,0,0,0
1437.21,23,409.16,158,0,0,0,0
1042.9,22,708.62,37,0,0,0,0
863.55,12,533.56,127,0,0,0,0
442.5,15,1522.44,104,0,0,0,0
615.99,23,453.95,72,0,0,1,0
2334.12,12,1060.29,77,0,1,0,0
1809.7,23,1535.2,140,1,0,0,1
412.59,21,530.45,198,0,0,0,0
1211.16,1,467.24,27,0,1,0,0
2324.79,15,1157.04,74,0,0,0,0
206.56,5,228.44,59,0,1,0,0
1888.16,13,861.23,175,0,0,0,0
565.31,0,258.48,114,0,0,1,0
1940.3,16,1384.99,153,0,0,0,0
511.19,10,571.77,154,0,1,0,0
180.39,18,629.88,13,0,0,0,0
215.39,2,430.72,166,0,0,0,0
1150.65,10,257.33,191,0,0,1,0
1421.86,4,1421.57,158,0,1,1,1
443.94,16,600.26,133,0,0,1,0
2076.82,21,4560.84,112,0,0,0,0
208.2,6,409.07,137,0,0,0,0
1026.51,9,451.23,173,0,0,1,0
326.68,10,388.25,195,0,0,1,0
571.44,2,598.43,154,0,0,1,0
1149.86,19,1711.51,72,0,0,1,0
463.86,9,1219.36,180,0,0,0,0
746.54,9,269.69,70,0,0,0,0
2999.78,13,1369.87,148,1,0,0,0
615.91,11,1001.92,57,0,0,0,0
2529.29,14,887.88,132,0,0,0,0
354.35,9,441.18,69,0,0,0,0
1862.74,9,461.3,68,0,1,0,0
4635.82,18,722.16,72,0,0,0,0
92.61,0,477.28,195,0,0,1,0
494.28,23,1462.03,66,1,0,0,0
1952.9,9,465.18,85,0,0,0,0
895.12,1,206.84,75,0,0,0,1
1589.45,16,304.64,118,0,0,1,0
599.45,23,316.47,177,0,0,0,0
1195.82,6,567.93,56,0,1,0,0
938.54,6,757.21,120,1,1,0,0
3525.52,19,686.96,129,0,0,0,0
1414.34,8,877.03,131,0,0,0,0
1537.02,21,571.71,69,0,0,0,0
726.42,1,583.97,134,1,0,1,1
673.44,13,1902.87,181,0,0,0,0
711.55,16,1370.89,26,0,0,0,0
1626.93,0,849.78,161,0,0,0,0
719.83,8,1152.86,167,1,1,0,1
1465.24,19,209.41,80,0,0,0,0
8737.69,20,406.05,156,0,0,0,0
2620.51,18,513.21,98,1,0,1,0
791.54,3,408.93,162,0,0,0,0
3645.37,7,263.11,174,0,0,1,0
729.18,12,856.05,75,0,0,1,0
142.86,3,1527.59,110,0,0,0,0
400.18,8,660.05,54,0,0,0,0
168.88,8,981.33,106,0,0,0,0
771.62,21,648.38,192,0,0,0,0
1117.02,17,510.31,117,0,0,0,0
5863.12,11,1154.61,34,0,0,0,0
1520.7,9,282.33,16,0,0,1,0
880.86,10,217.45,181,0,0,0,0
2513.43,6,279.95,86,0,0,0,0
120.16,8,1110.04,50,0,0,0,0
1387.99,5,700.87,175,1,0,1,0
2370.52,18,833.74,134,0,0,0,0
249.99,15,1819.2,101,0,1,0,0
3441.81,14,330.96,84,0,0,0,0
1538.4,6,1369.91,58,0,1,0,0
723.94,15,524.37,39,0,0,1,0
2064.79,4,478.66,56,0,1,0,1
10622.11,15,698.36,165,0,1,0,0
1315.36,0,767.12,88,0,0,0,0
1405.6,18,586.21,76,0,0,1,1
692.73,4,959.29,183,0,0,0,0
468.79,6,700.05,30,0,0,0,0
2515.77,18,590.16,194,0,1,0,0
465.87,21,518.13,65,0,0,0,0
1177.99,4,767.4,158,0,1,0,0
680.17,16,294.71,41,1,0,0,1
1770.43,21,349.09,162,1,0,0,0
1530.98,7,533.54,99,0,1,0,0
3094.99,0,922.35,15,0,0,0,0
658.51,1,2405.97,185,0,0,0,1
837.25,14,604.5,45,0,0,0,0
412.09,19,229.4,137,0,1,0,0
703.25,17,413.99,70,0,0,0,0
1599.27,10,987.66,145,0,1,0,0
2337.85,9,371.6,195,0,0,1,1
436.08,23,303.86,157,0,0,0,0
2616.53,23,984.57,176,0,0,0,0
4254.1,3,879.13,146,0,0,0,0
1658.11,4,274.92,73,0,0,0,0
7163.8,3,388.78,63,0,0,0,0
505.84,12,1403.61,188,0,0,1,0
315.87,12,1109.55,184,1,0,1,0
185.17,17,324.27,70,0,0,1,0
4895.37,23,201.68,72,0,0,0,0
2109.84,1,781.42,16,0,0,1,1
1037.34,15,556.89,72,0,0,0,0
1450.94,0,741.77,175,1,0,1,1
355.85,18,973.4,77,0,1,0,0
12654.3,8,374.74,10,0,0,0,0
1247.9,2,513.22,19,0,1,1,1
1223.41,6,387.83,46,0,0,0,0
2265.99,9,396.26,35,1,0,1,1
1774.03,0,933.42,185,0,0,0,0
1371.81,9,725.2,10,0,0,1,0
497.47,20,260.4,37,0,0,0,0
1757.18,8,1027.68,161,0,0,0,0
7201.36,14,539.13,25,0,1,0,0
4210.85,14,1056.48,128,1,0,0,0
5394.78,2,361.82,186,0,0,0,0
657.72,4,381.68,188,0,0,0,0
407.64,8,773.58,98,0,0,0,0
967.01,21,344.51,153,0,0,0,0
1159.48,8,564.01,104,0,0,0,0
3275.39,22,321.81,59,0,0,0,0
201.85,6,525.94,190,0,0,0,0
5062.17,23,652.55,68,0,0,0,0
936.35,22,671.26,90,0,0,1,0
715.6,11,534.4,178,1,0,0,0
398.57,8,812.41,26,0,0,0,0
209.59,5,726.82,64,0,0,0,0
2497.81,22,630.42,108,0,0,0,0
1180.06,1,456.91,143,0,1,0,1
301.88,8,1262.62,51,0,0,0,0
300.34,16,838.63,163,1,0,0,0
783.85,0,357.21,81,0,1,1,1
5819.8,18,981.74,22,0,0,0,0
845.91,5,1124.73,26,0,0,1,0
243.92,4,633.37,188,0,0,0,0
857.7,1,659.15,149,0,1,0,1
834.87,8,193.38,42,0,0,0,0
73.93,13,400.99,29,0,0,0,0
1038.68,3,1103.47,36,0,0,0,0
870.5,3,415.89,147,0,0,0,0
2199.99,20,604.31,17,0,0,0,0
6967.11,14,397.35,190,0,0,0,1
3383.16,7,763.94,182,0,1,0,1
838.08,3,842.39,15,1,1,0,1
362.66,15,856.01,17,0,0,0,0
14376.64,20,335.76,101,0,0,0,0
1163.54,3,709.12,182,1,0,0,0
1112.02,15,1712.9,105,0,0,0,0
1070.49,21,1042.2,42,0,0,0,0
1336.87,11,703.45,5,1,0,0,0
949.22,15,208.81,43,0,0,0,0
617.91,18,572.71,31,1,0,0,1
634.69,7,1786.15,40,0,1,0,0
1061.3,5,1467.28,164,0,0,0,0
636.88,9,877.3,173,0,1,0,0
537.62,4,431.99,147,1,0,0,0
1219.79,17,686.34,35,0,0,0,0
849.82,9,1057.95,131,0,0,0,0
4934.43,9,1169.49,10,0,0,0,1
77.4,6,802.37,93,0,1,0,0
