income,credit_score,existing_loan,monthly_emi,employment_years,missed_payments,approved
1215602,417,62287,50374,14,4,0
1786409,460,238009,24014,15,0,1
1114091,700,707062,14772,23,7,0
365838,497,692353,46389,22,6,0
1584250,559,687235,44627,15,0,1
261087,346,770644,18161,9,5,0
1213343,698,661414,42264,21,7,0
1841704,377,230881,7490,8,7,0
318451,423,107357,54011,8,7,0
1696176,374,441733,41661,16,2,0
639792,436,207440,24502,16,6,0
239353,699,553958,35757,16,1,0
393075,804,835544,41111,23,5,0
1462859,799,874820,32737,11,3,0
1563453,437,351300,17709,12,1,0
265318,349,159379,58645,11,4,0
965313,553,768447,44682,13,6,0
1731266,725,198159,59055,9,3,0
616880,846,834354,54279,22,3,0
791460,601,194152,8998,18,0,1
940976,648,879780,28906,1,4,0
981239,348,603623,35490,3,0,0
1341840,373,812744,4656,18,0,0
970746,560,66985,50477,6,7,0
1013168,655,655032,36901,14,6,0
425281,559,776001,25735,14,2,0
1220545,594,975112,52021,23,0,0
1885723,612,483178,29092,5,1,0
1098613,481,887395,1242,2,3,0
1642646,663,171349,41307,5,6,0
1600804,487,555839,1831,15,0,1
1680415,842,614101,50721,1,5,0
469536,847,449813,28511,6,1,0
517824,707,887457,7246,10,4,0
1506002,713,386486,31467,6,3,0
377789,641,700572,18302,3,6,0
1761729,519,9637,55568,23,5,0
942452,462,829690,3232,19,6,0
1037291,519,953197,36526,6,6,0
325657,569,927328,38765,3,5,0
1483743,699,653841,51507,11,4,0
881669,481,551238,58741,4,5,0
1729247,504,416704,10972,22,1,0
1967670,527,652158,48136,18,7,0
1319043,549,497760,34592,4,6,0
1432310,740,215,10683,18,4,0
1871370,832,367747,23664,20,6,0
309751,495,797955,36828,2,5,0
1629626,818,993404,54476,10,4,0
1011774,369,855121,33172,6,4,0
1941093,698,23834,18105,16,0,1
661079,502,296618,21700,24,0,1
568452,447,567354,11017,8,7,0
306081,771,272544,36613,20,0,0
1183237,498,911643,20594,8,5,0
1861909,725,534633,11384,9,3,0
758986,791,33896,30348,12,1,1
310078,441,478646,16448,14,5,0
222671,612,815331,9491,21,6,0
1666976,464,499387,13112,4,0,1
1604104,613,814661,55534,2,4,0
1859066,320,510269,31021,7,5,0
251663,381,267727,58759,19,4,0
1264284,430,922401,44553,9,7,0
511955,604,513622,968,12,6,0
1382459,670,71537,368,2,4,0
1566970,683,764777,8424,21,4,0
312547,744,397783,35010,7,7,0
1110681,724,599095,54154,8,2,0
1807618,460,653936,35851,21,3,0
1999678,477,899084,57225,20,1,0
342483,789,470455,25496,11,1,0
858271,626,668689,58032,10,0,0
414835,588,232117,30936,1,2,0
601896,653,773068,13322,17,5,0
284896,327,333936,1469,8,7,0
677095,342,393444,37493,1,5,0
271295,722,213286,4259,1,1,0
943974,476,561340,36390,2,3,0
1087121,828,450985,10292,15,4,0
1521831,793,46032,26841,18,6,0
1548224,497,504910,28365,3,0,1
1905738,816,295830,17207,22,3,0
1256731,813,863413,36199,24,1,0
1715448,321,623090,22912,17,2,0
1025816,411,980765,36919,19,0,0
574705,356,920313,36981,24,7,0
1820118,365,234337,15235,17,1,0
1858845,397,172857,56572,9,5,0
754594,443,429763,41757,10,0,0
347718,734,304962,33547,16,7,0
1557563,385,886854,48119,23,1,0
845263,643,334071,43810,24,5,0
1607321,593,721041,19276,22,6,0
1208239,542,341609,31923,23,5,0
307512,331,745222,5534,19,4,0
347443,690,750887,26469,15,7,0
1719163,576,637509,36074,19,7,0
573616,831,299477,35670,12,2,0
857409,453,126457,32563,1,7,0
886976,682,278720,46159,23,4,0
1614447,367,119875,36486,1,1,0
575037,513,825837,21,24,6,0
1244107,675,880432,34268,13,3,0
1007364,512,466995,41802,3,6,0
317796,378,555889,15799,16,6,0
1540575,680,854378,26336,12,7,0
1441082,357,984860,3641,3,6,0
1190198,325,314260,21596,2,7,0
898376,746,517965,32959,11,4,0
469544,365,510472,13306,21,3,0
580002,553,628474,46182,22,5,0
898002,343,849326,8587,7,7,0
1788015,396,689995,56326,1,1,0
790978,526,793897,31359,5,2,0
1777363,735,581042,21498,21,3,0
1779159,678,229047,4662,9,1,1
1107317,477,92850,37094,11,7,0
588215,726,896197,41833,20,3,0
521184,606,740479,27197,9,7,0
1671091,803,354835,20719,9,4,0
868234,567,563159,24665,22,1,0
578480,307,193946,43239,2,4,0
232711,807,470949,25032,19,0,0
991971,775,815943,59624,9,1,0
701157,596,867392,12641,8,3,0
384423,463,966325,41964,19,0,0
716349,784,852208,30028,18,4,0
1952290,371,249200,45494,13,4,0
1112495,537,725527,54646,1,3,0
1906493,403,992639,15651,4,0,0
1024792,509,306606,8536,19,6,0
1985954,767,454598,51863,7,5,0
333272,753,483410,56747,6,2,0
967836,567,758741,45712,5,3,0
1186001,685,556862,6273,10,4,0
902335,686,626360,6284,11,1,0
1007789,558,435126,59806,17,0,0
1891985,582,204603,25692,18,7,0
1326081,339,680546,8817,9,5,0
202869,785,678173,28955,24,2,0
981474,519,734172,26555,24,1,0
654351,428,740885,20378,20,0,0
1560828,819,864714,50830,13,5,0
836584,559,109779,41182,2,3,0
818467,665,18557,17127,17,7,0
1338848,843,159132,49614,23,5,0
238467,823,452082,17952,14,3,0
1236685,315,334248,11539,5,7,0
1077844,428,756265,46761,9,7,0
680047,408,477793,46219,11,6,0
1907923,832,661440,14692,6,0,1
1307447,568,144926,18120,16,7,0
1139903,461,908445,13334,0,5,0
328391,559,723055,28615,17,7,0
639430,401,682385,7903,14,2,0
1217026,805,184054,28527,18,5,0
1859280,546,565369,15629,0,0,0
456687,836,921872,56154,4,1,0
1974027,430,754981,58008,14,1,0
307450,652,381325,17740,2,5,0
371890,495,813526,33782,0,5,0
638741,681,963544,26708,7,3,0
481974,526,328910,10860,11,0,0
1648685,775,869485,17438,21,3,0
316381,776,155063,1764,24,2,0
1721701,564,787733,6009,18,6,0
1820197,671,683970,20842,24,1,1
334508,785,605751,42372,24,7,0
1978226,733,690038,48780,11,7,0
1647687,510,286610,33435,12,4,0
1399386,676,473656,3370,0,4,0
1541466,694,958379,38744,18,0,1
1822241,749,26081,50546,5,7,0
1040477,663,24354,57442,7,0,1
560032,756,617585,20454,3,4,0
1246811,525,804732,56134,4,0,0
1618175,430,64384,41381,24,1,0
1909536,775,881459,38367,21,2,1
1998596,576,645972,3650,6,2,0
1079611,455,847324,45117,22,7,0
1420412,517,35525,25708,3,3,0
929903,489,944036,42662,19,1,0
245714,716,6464,52772,3,6,0
1174339,845,540850,3190,14,0,1
1875810,340,893824,48113,20,0,1
830271,606,579802,8789,4,7,0
1715536,637,375572,32125,23,6,0
1960427,613,112564,33159,8,3,0
324123,374,370191,17459,1,3,0
1136093,578,467435,35418,6,0,1
1554204,475,556922,46368,16,0,1
1331565,572,786492,47085,15,6,0
1546932,588,795701,18768,16,7,0
1029957,571,194215,49961,19,1,0
378274,365,547353,15563,22,6,0
887995,782,265039,57199,1,3,0
1573928,547,343003,27885,10,6,0
611927,455,667712,21885,1,6,0
989852,346,967241,6895,0,6,0
331373,753,104127,50311,1,1,0
1687028,500,96426,23958,22,5,0
315294,423,949520,1531,8,0,0
1235362,300,192376,5481,21,4,0
1708027,490,11962,23932,1,7,0
848307,815,33302,21360,14,6,0
265726,741,347526,54847,9,7,0
341564,442,4011,43642,14,4,0
1626388,490,916148,24829,9,5,0
468246,832,19782,19932,24,0,0
1954272,526,198763,38931,22,3,0
318015,612,644942,55823,16,4,0
1989250,601,432941,38032,8,7,0
454079,759,533484,50383,17,7,0
750929,700,43459,15890,3,7,0
889944,692,611533,18807,8,3,0
888105,506,522829,11767,15,4,0
713758,509,603151,8071,3,7,0
1183609,414,909638,53413,15,3,0
1614466,550,774751,26149,18,6,0
1217703,518,363154,15540,0,7,0
645101,706,32769,35676,22,4,0
236631,742,369673,4712,5,3,0
1321567,653,780721,55907,9,5,0
1252590,849,24700,26201,15,1,1
1521813,441,771152,44958,3,3,0
1266646,800,735716,53035,21,1,0
1305534,846,993931,19899,21,1,0
1330650,841,231237,19787,12,0,1
1783593,806,791701,20982,15,6,0
1424665,580,908063,54160,19,5,0
397392,723,306024,22606,5,1,0
358823,569,114003,10150,10,2,0
1223904,453,139392,20393,23,6,0
1878728,382,49589,51887,2,1,0
1641578,725,250606,37259,19,3,0
1982005,574,731636,46687,9,1,0
698863,583,560185,46936,0,3,0
567654,472,189637,27750,19,7,0
779036,626,686290,8593,10,3,0
730089,362,712593,17358,11,2,0
1398838,372,213893,16607,13,1,0
1691481,674,800812,37381,24,1,1
435362,807,732256,55929,7,4,0
1692785,697,70934,24811,10,6,0
1802456,419,580118,28074,3,4,0
997079,736,267673,20595,6,0,1
864076,764,776652,44194,9,3,0
419963,585,356742,49377,18,2,0
680761,564,757582,26853,24,4,0
1497286,619,82987,8183,3,1,0
420984,675,573466,20661,1,0,0
464512,388,138009,50493,20,2,0
801863,502,384096,53188,17,5,0
1517375,633,564174,41169,13,1,0
1486125,521,573987,36495,15,1,0
1842895,340,600684,13703,21,7,0
1732875,367,614966,53080,10,5,0
1860786,813,549567,30815,9,3,0
648982,426,431322,29565,16,3,0
1372622,554,110776,51955,13,4,0
606619,315,625732,58453,21,4,0
1280673,776,368444,22942,3,1,1
1196161,361,113793,42986,18,6,0
866326,731,378422,33161,1,1,1
849150,567,210809,55991,6,4,0
1478805,334,171616,48760,8,5,0
318834,793,365391,41803,18,4,0
1342424,768,242262,9716,15,1,1
1301497,624,533285,41563,21,2,0
905086,603,106102,33349,24,1,0
1899005,575,872143,47098,15,2,0
1954236,500,378189,42899,17,2,0
484821,744,565148,132,22,1,0
255609,623,265369,51990,20,6,0
427897,334,634402,47752,20,6,0
1174165,781,976974,3385,10,0,1
1279600,779,637506,36538,6,4,0
1225715,364,522070,35036,8,6,0
1318889,307,887196,33743,3,3,0
1638533,600,107041,40373,24,1,0
384078,642,374368,7213,12,2,0
1606005,730,325800,59157,24,1,1
661243,723,445096,44223,3,4,0
1362208,631,716438,26119,18,5,0
1197639,737,481862,2835,1,6,0
451451,473,76290,2738,8,6,0
203051,826,56633,42317,11,6,0
1952683,325,813087,4134,1,2,0
1625412,705,121118,25892,5,3,0
1204646,531,698961,39601,4,7,0
1860099,832,3114,8353,4,3,0
1171525,849,812934,15690,19,6,0
1970348,804,49768,1909,21,3,0
389407,478,310272,25703,4,5,0
649395,431,413244,14496,3,6,0
1149597,754,973069,12062,8,0,1
662894,647,83123,9850,21,2,0
1460386,839,632543,27701,9,5,0
1157238,705,166405,34731,15,7,0
927975,375,3174,5153,9,2,0
273523,791,117769,10481,9,7,0
1343052,493,297542,33734,18,6,0
1482417,461,429145,889,9,5,0
1003451,646,135393,19445,5,6,0
1229225,660,385693,6461,16,7,0
1070045,386,751331,38934,4,7,0
422866,561,766868,28205,5,5,0
1335248,513,186493,23351,23,6,0
1846711,561,596923,16006,14,0,1
1593470,582,810192,44149,24,2,0
1983570,766,928864,49112,18,5,0
228251,679,665673,10940,17,0,0
1876345,661,917106,59010,3,1,1
1623286,748,767166,11258,7,6,0
1798809,740,217070,24485,15,4,0
1280793,392,399017,23763,23,5,0
1256884,723,800562,58785,18,3,0
1516669,441,931775,40048,19,0,0
383062,590,409291,1067,2,0,0
594366,731,495671,20607,9,5,0
944840,348,369359,43883,1,7,0
300235,601,150056,9018,3,0,0
1323316,489,874527,48521,5,1,0
578496,435,847374,46946,10,0,0
950201,703,143933,15187,13,4,0
1003328,640,98970,37375,15,4,0
1243233,617,82203,3985,20,7,0
377247,662,988880,43052,18,6,0
1911741,681,192319,19563,1,6,0
729525,532,200173,47322,24,7,0
1232751,643,501946,37306,16,3,0
1268632,848,676337,51514,8,1,0
376615,828,443833,18608,16,4,0
387628,482,974977,39139,14,7,0
838836,340,217726,1726,6,5,0
573632,696,874609,26582,21,2,0
1382991,793,597190,5791,22,2,1
606716,632,92172,57225,18,2,0
646438,426,670990,8458,2,6,0
1802239,300,544344,56165,0,5,0
865022,467,138454,17221,3,0,1
741252,318,55739,48506,17,5,0
1886293,631,868117,20968,7,0,1
452764,755,48639,17070,18,2,0
914998,408,453054,27937,22,3,0
1715458,567,439257,49508,22,3,0
940427,744,787424,41831,24,7,0
712153,539,596682,42933,5,0,0
267215,600,329801,47307,0,2,0
344356,402,813592,48340,7,5,0
403861,549,831588,37415,0,3,0
1202168,752,182447,42770,18,0,1
555612,819,348586,20802,10,7,0
1703181,452,674932,43601,20,5,0
209435,473,380069,10420,23,2,0
647556,642,4136,6642,24,1,0
1948014,730,61868,19775,14,2,1
1065264,623,344407,28754,22,6,0
1824157,719,818599,43310,24,2,1
278781,784,110957,4357,10,7,0
391475,711,539767,21263,18,5,0
360196,383,119392,54471,20,7,0
426507,412,686736,48367,9,5,0
506063,631,660183,13201,23,4,0
964121,677,780516,2739,11,4,0
976665,340,201528,13231,0,5,0
1939183,404,806017,42278,23,5,0
1369748,501,234847,42495,6,1,0
1605478,749,934776,21168,16,1,0
684963,565,813051,32624,9,2,0
1704544,509,861501,10635,5,7,0
1567293,417,302039,9964,16,6,0
1307677,676,265864,27785,17,7,0
1744548,839,281411,29510,4,3,0
488790,383,146768,17261,17,7,0
1090617,753,685328,19254,16,6,0
747337,813,315508,11392,21,1,1
1983541,686,416561,12336,15,2,1
1608836,649,51567,11939,7,6,0
1841249,595,91229,27412,23,7,0
850419,557,979111,16676,12,0,0
633374,380,412601,9843,23,4,0
920777,567,476874,45591,15,6,0
1796153,718,984404,25112,10,3,0
1620946,534,199316,30598,5,2,0
1087225,610,720785,35454,2,6,0
471967,656,864950,33001,0,5,0
391232,512,607132,27228,17,7,0
1552695,348,163991,14429,4,0,1
209540,426,614985,18758,12,4,0
1789228,522,581484,2272,9,0,1
1646403,578,639888,17350,4,2,0
751951,707,624913,50041,13,7,0
1300567,804,472617,53015,16,1,1
388751,593,917999,22538,0,4,0
1614902,576,831187,3400,24,7,0
1934913,737,985188,15371,1,0,1
818992,406,33324,57378,6,1,0
249115,719,865361,37310,9,3,0
1601727,728,394768,36291,19,2,1
943583,674,51272,18147,6,2,1
1440538,372,429069,3291,23,4,0
921747,329,249264,35256,15,0,1
1397719,487,688284,10892,4,3,0
1963211,663,860894,34326,11,5,0
736226,750,751747,37458,16,4,0
1152699,494,679249,38889,15,7,0
553824,455,236538,51428,19,5,0
1252576,471,578963,44966,15,4,0
925948,340,515447,37207,18,0,0
1087474,362,73591,50255,14,3,0
1604330,322,463406,40288,11,0,1
451492,659,153706,25995,20,2,0
1748098,374,294507,5409,9,5,0
691072,417,194824,42438,21,1,0
1286880,679,339148,44874,1,6,0
704999,589,973902,44702,6,7,0
531593,739,753818,29823,12,2,0
807274,306,827150,7869,2,2,0
351836,495,113627,35724,14,5,0
308940,720,738276,56862,0,7,0
1203531,492,289014,22401,2,4,0
1024926,447,37394,25958,24,2,0
1514093,501,838489,10766,9,6,0
867521,743,79795,19768,14,3,0
1870396,718,342553,30794,21,2,1
1079090,726,799448,26145,5,3,0
585777,778,42137,10086,19,0,1
1873250,774,393369,43203,14,7,0
751638,425,138925,26442,23,4,0
1865872,694,536667,16412,20,3,0
749639,624,933296,58049,6,2,0
812956,691,121169,25596,24,4,0
838873,739,169439,10255,20,6,0
1586073,503,149172,42406,4,4,0
1456445,785,650370,40524,3,3,0
265953,330,375233,23332,21,7,0
700328,687,980960,44624,17,3,0
203267,733,535337,15764,2,1,0
282745,675,394002,27563,16,1,0
1024945,643,463120,22139,17,4,0
357164,742,686059,36370,17,5,0
735626,374,909216,5062,23,7,0
331484,454,834123,44645,23,5,0
731831,729,168112,57223,1,1,0
1092323,662,773815,7244,12,2,0
1309268,747,224062,6372,21,0,1
1468732,533,57986,39873,14,4,0
1472568,561,431978,19965,4,0,1
716771,424,678960,51914,2,1,0
1030857,544,356918,44997,4,3,0
763044,841,746137,16956,4,6,0
743176,784,937314,40473,4,4,0
891095,421,741063,13894,2,1,0
1033727,424,105315,45048,2,7,0
1234978,848,319348,33382,19,2,1
1362928,469,282229,4050,22,6,0
1069474,423,702214,16709,17,4,0
285999,334,468013,15722,19,4,0
1266531,386,739629,52892,3,7,0
270640,500,695139,15210,0,5,0
396582,668,711567,49510,15,3,0
1992662,376,225687,36545,7,4,0
600573,358,296124,38674,16,3,0
1674271,730,842549,59715,7,1,0
261476,799,145213,34489,6,2,0
1555531,408,664704,17733,24,6,0
1415856,577,15896,20080,7,6,0
875510,367,89353,36664,20,2,0
1844044,368,29813,53412,23,4,0
898646,464,739791,58940,11,4,0
837144,788,65679,58971,15,1,0
614568,604,666041,39709,11,5,0
1434717,664,728263,59846,18,5,0
1098320,678,789660,46232,9,5,0
834736,642,397798,52960,6,3,0
1787261,653,209755,38014,11,5,0
1426607,715,273541,41152,19,2,1
1168021,408,956303,27250,4,6,0
1367756,796,299155,20229,15,6,0
266234,640,603471,51729,8,3,0
1812818,682,355398,48137,6,1,1
378352,832,437480,16475,19,2,0
1328035,599,566605,53386,21,6,0
609995,438,178986,57824,13,2,0
395004,658,215705,55744,10,6,0
666152,798,888921,46412,6,0,0
1973832,684,700614,43876,9,1,1
1307739,579,302240,29011,8,1,0
1724429,782,315929,8128,3,7,0
251934,410,52344,50227,15,0,0
1968831,438,770348,32450,9,3,0
625523,734,475859,18897,18,6,0
1040530,808,906814,8168,23,7,0
1702713,572,723906,6861,16,6,0
205486,398,988595,41758,8,6,0
1387983,403,458819,13750,12,5,0
1073332,513,159484,16988,0,5,0
1898884,464,110489,2979,1,5,0
1239458,819,444874,23524,12,5,0
1875659,583,493057,7065,23,5,0
420184,816,442765,37684,8,0,0
866490,463,782955,23184,6,1,0
1598228,363,11549,33365,15,3,0
1891188,390,464432,58876,18,2,0
522710,416,25739,23704,6,5,0
397775,566,807641,57857,5,0,0
489336,439,631339,5622,17,7,0
987494,545,15116,18261,18,7,0
1856940,694,544333,44932,10,6,0
1338356,786,943831,28419,11,3,0
1401193,775,35709,34467,9,7,0
745977,816,830049,25605,12,3,0
1599181,483,977643,29171,11,3,0
1112606,319,682265,22164,20,0,0
1089465,823,981652,49868,9,2,0
733636,828,727963,46197,19,5,0
1141218,446,229167,13796,17,3,0
238102,603,906211,36854,3,0,0
274460,527,305063,31320,23,6,0
1613354,401,869953,665,4,1,0
1338506,716,486121,32694,4,6,0
1779665,515,219222,24230,11,0,1
1876014,706,713806,22995,2,0,1
1976203,698,707788,26784,7,0,1
379208,798,965398,14605,21,3,0
1403273,764,998653,17463,1,0,1
413945,381,792879,8419,17,1,0
431915,664,529787,47952,8,3,0
927952,462,563329,57492,12,6,0
408124,347,293459,33837,6,1,0
637477,810,132371,5263,9,7,0
725830,628,382650,48877,8,4,0
1532397,415,660354,40719,21,6,0
1426380,636,750774,45687,14,0,0
1954279,446,212235,34131,4,5,0
239081,622,782119,37276,11,5,0
918216,742,924993,34523,0,3,0
555249,312,353791,519,11,5,0
1468506,793,294499,54615,21,6,0
1005497,586,335949,31106,5,3,0
717313,413,330511,44504,18,6,0
1463108,779,372050,10514,18,0,1
812380,321,379553,47456,15,2,0
1767908,648,863787,7233,18,2,0
1565413,619,116220,1102,2,1,0
1537682,425,221421,597,22,0,1
1276871,576,349317,46715,9,5,0
1262383,503,788428,19657,17,0,0
1684140,493,775359,45009,12,4,0
357504,846,830819,38549,17,2,0
1486643,585,3089,43565,2,5,0
1733584,356,885259,6256,22,6,0
892440,602,282803,56410,2,6,0
594540,462,307322,43148,22,2,0
717923,318,513269,29401,24,0,0
1415557,669,620253,41548,11,5,0
944699,563,605556,6554,19,1,0
219870,412,347186,12664,6,6,0
1152082,787,368615,42367,24,0,1
1451772,626,201798,48279,23,1,0
448683,841,332255,24386,7,7,0
